word,type_name
acrylonitrile-butadiene-styrene,noun
act,verb
act as,verb
act involuntarily,verb
act of God,noun
act out,verb
act up,verb
act—act,verb
actable,adjective
Actaea,noun
acted,verb
acted as,verb
acted involuntarily,verb
acted out,verb
acted up,verb
Actias,noun
Actifed,noun
actin,noun
actinal,adjective
acting,verb
acting,noun
acting as,verb
acting involuntarily,verb
acting out,verb
acting out,noun
acting up,verb
actinga,adjective
Actinia,noun
Actinia,noun
Actiniaria,noun
actinic,adjective
actinic dermatitis,noun
actinic keratosis,noun
actinic radiation,noun
actinide series,noun
Actinidia,noun
Actinidiaceae,noun
Actiniopteris,noun
actinism,noun
actinium,noun
actinoid,noun
actinolite,noun
Actinomeris,noun
actinometer,noun
actinometric,adjective
actinomorphic,adjective
actinomyces,noun
Actinomycetaceae,noun
actinomycetal,adjective
Actinomycetales,noun
actinomycete,noun
actinomycin,noun
actinomycosis,noun
actinomycotic,adjective
Actinomyxidia,noun
actinomyxidian,noun
actinopod,noun
Actinopoda,noun
action,noun
action officer,noun
action potential,noun
action spectrum,noun
actionable,adjective
actions,noun
Actitis,noun
Actium,noun
activate,verb
activated,verb
activated carbon,noun
activating,verb
activating agent,noun
activatinga,adjective
activation,noun
activation energy,noun
activator,noun
active,adjective
active agent,noun
active air defense,noun
active application,noun
active birth,noun
active citizen,noun
active immunity,noun
active matrix screen,noun
active placebo,noun
active site,noun
active transport,noun
active trust,noun
actively,adverb
activeness,noun
activism,noun
activist,noun
activists,noun
activities,noun
activity,noun
actomyosin,noun
actor,noun
actors,noun
actress,noun
actress’,noun
actresses,noun
acts,verb
acts as,verb
acts involuntarily,verb
acts out,verb
acts up,verb
actual,adjective
actual damages,noun
actual eviction,noun
actual possession,noun
actual sin,noun
actualised,verb
actualities,noun
actuality,noun
actualize,verb
actualized,verb
actualizing,verb
actually,adverb
actuarial,adjective
actuarial table,noun
actuary,noun
actuate,verb
actuated,verb
actuates,verb
actuating,verb
actuator,noun
acuate,adjective
acuity,noun
aculea,noun
aculeate,adjective
aculeus,noun
acumen,noun
acuminate,adjective
acuminate leaf,noun
acupressure,noun
acupuncture,noun
acute,adjective
acute angle,noun
acute brain disorder,noun
acute gastritis,noun
acute glaucoma,noun
acute glossitis,noun
acute hemorrhagic encephalitis,noun
acute leukemia,noun
acute lymphocytic leukemia,noun
acute myelocytic leukemia,noun
acute pyelonephritis,noun
acute renal failure,noun
acute schizophrenic episode,noun
acute triangle,noun
acutely,adverb
acuteness,noun
acyclic,adjective
acyclovir,noun
acyl,noun
acyl anhydrides,noun
acyl halide,noun
acylation,noun
ad,adverb
ad,noun
ad hoc,adverb
ad hominem,adjective
ad infinitum,adverb
ad interim,adverb
ad lib,adverb
ad nauseam,adverb
ad val,adverb
ad-lib,noun
ada,noun
ADA-SCID,noun
adactylia,noun
adactylous,adjective
Adad,noun
adage,noun
adagio,adverb
Adalia,noun
adam,noun
adam,noun
adamance,noun
adamant,adjective
adamantine,adjective
adamantly,adverb
Adams,noun
Adams,noun
Adana,noun
Adansonia,noun
Adapa,noun
Adapid,noun
adapt,verb
adaptability,noun
adaptable,adjective
adaptation,noun
adaptational,adjective
adaptations,noun
adapted,verb
adapter,noun
adapters,noun
adapting,verb
adaptions,noun
adaptive,adjective
adaptive radiation,noun
adaptively,adverb
adaptor,noun
adapts,verb
Adar,noun
adaxial,adjective
adaxially,adverb
add,verb
add to,verb
addable,adjective
addax,noun
added,verb
added to,verb
addend,noun
addendum,noun
adder,noun
adders,noun
addict,noun
addicted,adjective
addiction,noun
addictions,noun
addictive,adjective
addicts,noun
adding,verb
adding machine,noun
adding to,verb
addis,noun
addition,noun
addition reaction,noun
additional,adjective
additionally,adjective
additions,noun
Additions to Esther,noun
additive,noun
additive inverse,noun
additives,noun
addle,verb
addle-head,noun
addlebrained,adjective
addled,verb
addled,adjective
addling,verb
address,noun
addressable,adjective
addressed,noun
addressee,noun
addressees,noun
addresses,noun
addressing,noun
addressing machine,noun
adds,verb
adds to,verb
adduce,verb
adduced,verb
adducent,adjective
adducer,noun
adduces,verb
adducing,verb
adduct,noun
adducted,verb
adducting,verb
adduction,noun
adductor,noun
adductors,noun
adducts,verb
Adelaide,noun
Adelges,noun
adelgid,noun
Adelgidae,noun
Adelie,noun
Adelie Land,noun
Aden,noun
Adenanthera,noun
Adenauer,noun
adenine,noun
adenitis,noun
Adenium,noun
adenocarcinoma,noun
adenocarcinomatous,adjective
adenoid,adjective
adenoidal,adjective
adenoidectomy,noun
adenoma,noun
adenomatous polyp,noun
adenomegaly,noun
adenopathy,noun
adenosine,noun
adenosine deaminase,noun
adenosine diphosphate,noun
adenosine monophosphate,noun
adenosine triphosphate,noun
Adenota,noun
adenovirus,noun
adept,adjective
adeptly,adverb
adeptness,noun
adequacy,noun
adequate,adjective
adequately,adjective
ader wax,noun
adesite,noun
adhere,verb
adhered,verb
adherence,noun
adherent,adjective
adherents,adjective
adheres,verb
adhering,verb
adhesion,noun
adhesion contract,noun
adhesive,noun
adhesive bandage,noun
adhesive material,noun
adhesive tape,noun
adhesiveness,noun
adhesives,noun
adhocracy,noun
Adi Granth,noun
adiabatic,adjective
adiabatic process,noun
Adiantaceae,noun
Adiantum,noun
adience,noun
adient,adjective
adieu,exclamation
adieu,exclamation
Adige,noun
adipose,adjective
adipose tissue,noun
adiposity,noun
adirondack,noun
Adirondacks,noun
Adirondacks,noun
adit,noun
Aditi,noun
Aditya,noun
adj,noun
adjacency,noun
adjacent,adjective
adjectival,adjective
adjectivally,adverb
adjective,noun
adjectively,adverb
adjectives,noun
adjoin,verb
adjoined,verb
adjoining,verb
adjoining,adjective
adjoining room,noun
adjoins,verb
adjourn,verb
adjourned,verb
adjourning,verb
adjournment,noun
adjourns,verb
adjudge,verb
adjudged,verb
adjudges,verb
adjudging,verb
adjudicate,verb
adjudicated,verb
adjudicates,verb
adjudicating,verb
adjudication,noun
adjudications,noun
adjudicative,adjective
